tgt,climate change,climate change and storms,climate change mitigation measures,coral bleaching and disease,coral disease and bleaching,coral reef degradation,coral reef health,development and coastal construction,development and land-based pollution,enforcement and illegal fishing,fisheries data collection,fisheries management,fisheries management decisions,fisheries regulations,"fisheries regulations (e.g., license moratorium, gear restrictions)",fishermen education,fishermen participation,fishermen's awareness of climate change,fishermen's concern about climate change,fishermen's involvement in decision-making,fishermen's mistrust of management,fishermen's social cohesion,fishermen's social conflicts,fishermen's trust and cooperation,"fishing gear restrictions (mesh size, weight limits)",hurricanes,illegal fishing,improved enforcement,lack of enforcement,marine protected areas,ocean temperature,public awareness and education,runoff,sea level rise
accuracy of stock assessments,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biodiversity of reef species,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coastal habitats and mangroves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
collective action on resource management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
compliance with fishing regulations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
compliance with regulations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
concern about environmental impacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conflicts and non-compliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
coral bleaching and disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
coral reef health,-1,-1,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0
